"en","zh","ja"
"Explosive_bounce","易爆的弹跳","起爆性バウンド"
"Explosive_box","炸药箱","爆発物の箱"
"Explosive_Detonator","炸药引爆器","起爆性雷管"
"Explosive_gunpowder","爆炸性火药","起爆性火薬"
"Explosive_projectile","易爆的投射物","起爆性放射物"
"Extra_Charges","追加充能","追加チャージ"
"Extra_Health","追加生命值","追加HP"
"Extra_Health_(One-off)","额外生命值（一次性）","追加HP（1回限り）"
"Extra_Item_In_Holy_Mountain","额外神圣之山物品","聖なる山の追加アイテム"
"Extra_Item_Storage","额外物品空间","追加のアイテムスロット"
"Extra_Knockback_on_Spells","额外法术击退","呪文へのノックバック追加"
"Extra_Life_(One-off)","额外生命（一次性）","追加ライフ（1回限り）"
"Extra_max_HP","追加生命值上限","追加の最大HP"
"Extra_Perk","额外特性","追加特典"
"Extra_Potion_Capacity","额外魔药容量","ポーションの追加容量"
"Extra_Spell_Storage","额外法术空间","追加の呪文容量"
"Extra_Wand_Capacity_(One-off)","额外魔杖容量（一次性）","杖の追加容量（1回限り）"
"Extra_Wand_Storage","额外魔杖空间","追加の杖スロット"
"extremely_dense_rock","极度致密岩石","非常に固い岩"
"Fanning_Shot","飞散魔弹","ファニングショット"
"Fast_Projectiles","快速投射物","高速放射物"
"Fast_Swimming","快速游泳","高速水泳"
"Faster_Levitation","更快漂浮","素早い空中浮遊"
"Faster_Movement","更快移动","移動速度増加"
"Faster_Projectiles","更快的投射物","より高速な放射物"
"Faster_Swimming","更快游泳","高速水泳"
"Faster_wands","更快速的魔杖","素早い杖"
"Faster_Wands_(One-off)","快速魔杖（一次性）","素早い杖（1回限り）"
"Feared_by_Worms","蠕虫畏惧","蠕虫が恐れるもの"
"Feces","屎","排泄物"
"fire","火焰","炎"
"Fire_Arc","火焰弧","炎のアーク"
"Fire_Immunity","火焰免疫","火に対する免疫"
"Fire_trail","火焰轨迹","炎の痕跡"
"Fire_wand","火焰魔杖","炎の杖"
"Fireball","火球","火の玉"
"Fireball_Orbit","火球环绕","火の玉の軌道"
"Fireball_thrower","火球发射器","火の玉スローワー"
"Firebolt","火焰弹","ファイヤーボルト"
"Firebolt_with_trigger","带有触发的火焰弹","トリガー付きのファイヤーボルト"
"Firebomb","火焰炸弹","ファイヤー爆弾"
"Firecrackers","爆竹","爆竹"
"Fireworks!","烟火！","花火！"
"Fizzle","闪灭","不完全爆発"
"Flamethrower","火焰喷射器","炎スローワー"
"flammable_gas","可燃气体","引火性ガス"
"Floating_arc","悬浮弧度","浮遊アーク"
"Flock_of_Ducks","鸭群","アヒルの群れ"
"Floor_Is_Lava","岩浆地面","溶岩の床"
"flummoxium","除草基质","フルモキシウム"
"Flutist's_wand","吹笛手魔杖","フルート奏者の杖"
"Fly_downwards","向下飞行","下方飛翔"
"Fly_upwards","向上飞行","上方飛翔"
"Follow_Spells","跟随法术","呪文を追跡"
"Food_clock","食物时钟","食料時計"
"Food_Clock","食物时钟","食料時計"
"Fool's_gold","愚人的黄金","愚か者のゴールド"
"Forgotten_cave","遗忘洞穴","忘れられた洞窟"
"Formation_-_above_and_below","阵型_-_上下","編隊_-_上と下"
"Formation_-_behind_your_back","阵型_-_背后","編隊_-_あなたの背後"
"Formation_-_bifurcated","阵型_-_分叉","編隊_-_分岐"
"Formation_-_hexagon","阵型_-_六边形","編隊_-_六角形"
"Formation_-_pentagon","阵型_-_五边形","編隊_-_五角形"
"Formation_-_trifurcated","阵型_-_三叉","編隊_-_三叉"
"Freeze_charge","冰冻放射","凍結チャージ"
"Freeze_Field","冰冻领域","凍結フィールド"
"Freeze_if_wet","化水为冰","湿気は凍結"
"Freezing_gaze","冰冷凝视","凍結凝視"
"Freezing_Immunity","冷冻免疫","氷に対する免疫"
"freezing_liquid","冰冷液体","凍結液体"
"freezing_vapour","冰冷蒸汽","凍結気化ガス"
"frog_blood","青蛙血液","カエルの血"
"frog_meat","蛙肉","カエルの肉"
"frozen_acid","冻结的酸液","凍った酸"
"frozen_blood","冻结的血","凍った血"
"Frozen_poison","冻结的毒液","凍結ポイズン"
"frozen_rock","冻结岩石","凍った岩"
"Frozen_slime","冻结的粘液","凍ったスライム"
"Frozen_steel","冻结的钢","凍結鋼"
"Frozen_vault","冻结避难所","凍った埋葬室"
"Fruit_flesh","果肉","果肉"
"Full_health_regeneration","完全生命值再生","ヘルス満タン再生成"
"Fully-cooked_meat","全熟的肉","完全に調理された肉"
"fungal_blood","真菌血液","真菌の血"
"Fungal_Caverns","真菌洞穴","真菌洞窟"
"Fungal_Colony","真菌种群","真菌コロニー"
"Fungal_Disease","真菌疾病","真菌症"
"fungal_gas","真菌气体","真菌ガス"
"fungal_matter","真菌物质","真菌物質"
"fungal_soil","菌丝土","真菌の土"
"fungal_spore","真菌孢子","真菌芽胞"
"fungus","真菌","キノコ"
"fungus_blood","真菌血液","キノコの血"
"funky_vapour","迷幻蒸汽","ファンキーな気化ガス"
"Gamble_(One-off)","赌博_（一次性）","ギャンブル_（1回限り）"
"Gamma","伽马校正","ガンマ"
"Gas_Blood","瓦斯之血","ガスの血"
"Gas_fire","燃气着火","ガスファイヤー"
"gate-opener","开门魔药","門番"
"gem","宝石","宝石"
"Generate_random_deck_(5)","生成随机卡组_(5)","ランダムな組み合わせを生成する(5)"
"Ghost_of_Greed","贪婪幽灵","貪欲の幽霊"
"Giant_explosion_on_drunk_enemies","醉酒敌人巨型爆炸","泥酔影響下狙い打ち巨大爆破"
"Giant_explosion_on_slimy_enemies","粘液敌人巨型爆炸","スライミー影響下狙い打ち巨大爆破"
"Giant_firebolt","巨型火焰弹","巨大なファイヤーボルト"
"Giant_magic_missile","巨型魔法飞弹","巨大な魔法のミサイル"
"Giant_spitter_bolt","巨型分裂弹","巨大なスピッターボルト"
"Giant_spitter_bolt_with_timer","带有定时的巨型分裂弹","タイマー付きの巨大なスピッターボルト"
"Giga_black_hole","巨大黑洞","ギガブラックホール"
"Giga_death_cross","巨大死亡十字","ギガ死の十字架"
"Giga_disc_projectile","巨型碟状投射物","ギガ円盤放射物"
"Giga_Holy_Bomb","巨型神圣炸弹","ギガ神聖な爆弾"
"Giga_Nuke","巨型核弹","ギガ核爆弾"
"Giga_Worm_Launcher","巨型蠕虫发射器","ギガ蠕虫ランチャー"
"glass","玻璃","ガラス"
"Glass_Cannon","玻璃大炮","ガラスキャノン"
"Glitter_bomb","闪烁炸弹","グリッター爆弾"
"Glittering_field","盛大场面","グリッター散布フィールド"
"glowing_fungal_spore","发光真菌孢子","光る真菌芽胞"
"Glowing_lance","闪耀之枪","光る槍"
"glowing_matter","发光物质","光る物質"
"glowing_stone","发光石","光る石"
"Glowing_wand","闪耀魔杖","光る杖"
"Glue","粘胶","のり"
"Glue_Ball","胶球","のりの玉"
"Gold","金矿","ゴールド"
"gold","黄金","ゴールド"
"Gold_Is_Forever","黄金永恒","ゴールドは永遠の輝き"
"Gold_nugget","金块","金塊"
"Gold_to_Power","黄金变力量","ゴールドからパワーへ"
"gold_vein","金矿矿脉","黄金鉱脈"
"Golden_I","金色的我","黄金I"
"granite_ground","花岗岩地面","花こう岩の地面"
"grass","草","草"
"Gravity","重力","重力"
"Great_treasure_chest","大号宝箱","大いなる宝箱"
"Greed","贪婪","貪欲"
"Greed_Die","贪婪骰子","貪欲な死"
"Greed-cursed_crystal","贪婪诅咒的晶体","貪欲の呪いのクリスタル"
"Greed-cursed_liquid","贪婪诅咒的液体","貪欲の呪いの液体"
"Greed-cursed_rock","贪婪诅咒的岩石","貪欲の呪いの岩"
"Green_Glimmer","绿色闪光","緑の光"
"green_meteorite","绿色陨石","緑の隕石"
"green_slimy_meat","绿涩发黏的肉","緑のベトベトな肉"
"grey_rock","灰色岩石","灰色の岩"
"ground","地面","地面"
"Ground_to_sand","化地为砂","砂への分解"
"Guarding_spellcast","防护施法","防衛呪文詠唱"
"Guiding_powder","导引粉末","誘導粉末"
"gunpowder","火药","火薬"
"Gunpowder_Arc","火药弧","火薬アーク"
"Gunpowder_trail","火药轨迹","火薬の痕跡"
"Haamu","哈阿木","ハーム"
"Haamukivi","哈牡奇维","ハームキヴィ"
"Haavoittajamestari","哈沃以塔雅梅斯塔利","ハーヴォイッタヤメスタリ"
"Hahmonvaihtaja","哈摩尼伐伊塔加","ハフモンヴァイータヤ"
"Häive","海伊维","ハイヴェ"
"Häivehiisi","海伊维希斯","ハイヴェヒーシ"
"Hall_of_Wealth","财富殿堂","永遠の殿堂"
"Hämähäkki","哈玛哈奇","ハマハッキ"
"Hämis","哈米斯","ハミス"
"Happonuljaska","哈波努利亚斯卡","ハポヌルヤスカ"
"hardened_steel","硬化钢","固まった鋼"
"Hardened_steel","硬化钢","固まった鋼"
"hastium","迅速基质","ヘイスチアム"
"Haulikkohiisi","豪利可西系","ハウリッコヒーシ"
"Healing_bolt","治疗魔弹","治癒のボルト"
"Healium","治疗基质","ヒーリアム"
"healthium","生命基质","ヘルシアム"
"Healthy_Exploration","健康探索","健全な探索"
"Hearty_Porridge","满足之粥","栄養たっぷりなポリッジ"
"Heavy_Ammo","强大火力","重厚攻撃"
"Heavy_Shot","沉重一击","ヘビーショット"
"Heavy_spread","沉重散射","重厚拡散"
"Heikko_äitinuljaska","海科·埃提奴利亚斯加","ハイッコ・アイティヌルヤスカ"
"Heikko_happonuljaska","海科·哈波努利亚斯卡","ハイッコ・ハッポヌルヤスカ"
"Heikko_haulikkohiisi","黑伊科沃豪利可西系","ヘイッコ・ハウリッコヒーシ"
"Heikko_limanuljaska","海科·利马努利亚斯卡","ハイッコ・リマヌルヤスカ"
"Heikkohurtta","黑可胡尔塔","ヘイッコフルッタ"
"Heinäsirkka","黑纳希尔卡","ヘイナシルッカ"
"hell_rock","地狱岩","地獄の岩"
"hell_slime","地狱粘液","地獄のスライム"
"Helper_Orb","助手魔球","ヘルパーオーブ"
"Helvetin_sylkijä","黑勒瓦汀苏拉基亚","ヘルヴェティン・シルキヤ"
"Helvetinkatse","黑勒瓦汀卡特瑟","ヘルヴェティンカセ"
"Helvetinmato","黑勒瓦汀玛朵","ヘルヴェティンマト"
"herb","药草","ハーブ"
"Hermes_bird","赫尔墨斯之鸟","エルメスの鳥"
"Hernekeittopurkki","赫鲁内盖托普尔奇","ヘルネッケイットッポルキ"
"High_Gravity","高重力","高重力"
"High_Mana,_Low_Capacity_(One-off)","高法力，低容量（一次性）","マナ_高、容量_低_（1回限り）"
"Hiidenkivi","希登基维","ヒーデンキヴィ"
"Hiisi_Base","席西基地","ヒーシの基地"
"Hohtava_hyypiö","霍塔伐希皮欧","ホフタヴァ・ヒッピオ"
"Hohtonaamio","霍荷德纳米尔","ホートナーミオ"
"Hollow_egg","空的蛋","空の卵"
"Holy_Bomb","神圣炸弹","神聖な爆弾"
"holy_matter","神圣物质","聖なる物質"
"Holy_Mountain","神圣之山","聖なる山"
"Homebringer_Teleport_Bolt","“归家”传送魔弹","ホームブリンガーテレポートボルト"
"Homing","追踪","ホーミング誘導"
"Homing_orb","追踪魔球","ホーミングオーブ"
"Homing_Shots","追踪魔弹","ホーミングショット"
"Homunculus","人造人","ホムンクルス"
"honey","蜂蜜","ハチミツ"
"Horizontal_barrier","水平屏障","水平バリア"
"Horizontal_path","水平路径","水平軌道"
"Houre","霍乌列","ホウレ"
"Huhtasieni","胡塔西也尼","フフタシエニ"
"Huilu",,
"Hunger","饥饿","飢え"
"Hungry_Ghost","饥饿的幽灵","空腹のゴースト"
"Hurtta","胡尔塔","フルッタ"
"Hyypiö","希皮欧","ヒッピオ"
"ice","寒冰","氷"
"Ice_circle","冰环","氷のサークル"
"Iceball","冰球","氷の玉"
"Icethrower","寒冰发射器","氷スローワー"
"Increase_lifetime","延长存在时间","寿命増加"
"Increase_mana","提升法力","マナが増加する"
"Infestation","侵扰","蔓延"
"Infinite_lifetime","无限存在时间","無限寿命"
"Intense_concentrated_light","强烈汇聚之光","極度集中ライト"
"Intense_power","强大之力","強烈なパワー"
"Invisibility","隐身","透明"
"Invisible_Spell","隐形法术","透明の呪文"
"invisiblium","隐形魔药","透明ビリアム"
"Iron_Stomach","铁胃","丈夫な胃"
"Isohiisi","伊索西系","イソヒーシ"
"IT-Tankki","IT-汤齐","IT-タンッキ"
"item","物品","アイテム"
"Item_Radar","物品雷达","アイテムレーダー"
"Itiösieni","伊提欧斯艾尼","イティオシエニ"
"Jäähdytyslaite","亚胡地斯莱特","ヤーディティスライテ"
"Jäätiö","亚蒂约","ヤーティオ"
"Jalkamatkatavara","加尔卡玛特卡特瓦拉","ヤルカマトカタヴァラ"
"Jar","罐子","ジャー"
"Jättikonna","甲提客尔娜","ヤッティコンナ"
"Jättilaser-lennokki","加提拉瑟尔·勒恩诺奇","ヤッティレーザー・レンノッキ"
"Jättimato","亚提玛朵","ヤッティマト"
"Jouluhiisi","朱尔西系","ヨウルヒーシ"
"Juggernaut_Spells","重型法术","圧倒的な呪文"
"Juhannussima","尤汉努西玛","ユハンヌッシマ"
"Kadotettu_alkemisti","卡杜特图·阿尔科米斯提","カドテッツ・アルケミスティ"
"Kakkakikkare","卡卡基卡雷","カッカキッカレ"
"Kaljapullo","卡利亚普罗","カリヤプーロ"
"Kallokärpänen","卡洛卡鲁班嫩","カロカルパネン"
"Kallorotta","卡洛洛塔","カロロッタ"
"Kalmamato","卡尔玛玛朵","カルママト"
"Kammi","卡米","カンミ"
"Kammolukki","卡莫路奇","コームロッキ"
"Kantele",,
